id,slot,isAccessory,defense,movementBonus,miningCriticalBonus,temperatureRiseModifier,fireDamageModifier,grantsDoubleJump,doubleJumpHeightRatio,visionRadiusBonus,blocksInventoryTheft,setId,setTemperatureRiseModifier,setFireDamageModifier,verb_id,usage_limit_per_day,activation_condition,note,coldToleranceC,coldNote
seonge_helm,Head,false,4,0,0,0,0,false,0,0,false,none,0,0,,0,None,성에 투구 - 방어 4 (T4·v40 진화 트리 · 세트 효과 미정 [가안]),,악세사리·기타 — 실온 무관
seonge_armor,Body,false,5,0,0,0,0,false,0,0,false,none,0,0,,0,None,성에 갑옷 - 방어 5 (T4·v40 진화 트리 · 세트 효과 미정 [가안]),,악세사리·기타 — 실온 무관
seonge_boots,Feet,false,4,0,0,0,0,false,0,0,false,none,0,0,,0,None,성에 신발 - 방어 4 (T4·v40 진화 트리 · 세트 효과 미정 [가안]),,악세사리·기타 — 실온 무관
ice_root_helm,Head,false,5,0,0,0,0,false,0,0,false,none,0,0,,0,None,얼음뿌리 투구 - 방어 5 (T5·v40 진화 트리 · 세트 효과 미정 [가안]),,악세사리·기타 — 실온 무관
ice_root_armor,Body,false,6,0,0,0,0,false,0,0,false,none,0,0,,0,None,얼음뿌리 갑옷 - 방어 6 (T5·v40 진화 트리 · 세트 효과 미정 [가안]),,악세사리·기타 — 실온 무관
ice_root_boots,Feet,false,5,0,0,0,0,false,0,0,false,none,0,0,,0,None,얼음뿌리 신발 - 방어 5 (T5·v40 진화 트리 · 세트 효과 미정 [가안]),,악세사리·기타 — 실온 무관
cold_wave_helm,Head,false,6,0,0,0,0,false,0,0,false,hanpa,-0.40,-0.45,,0,None,한파 투구 - 방어 6 (T6·v40 진화 트리 · 한파 한벌옷 세트 — 체온 -40% · 화염 -45% (오너 승인 2026-07-28)),,악세사리·기타 — 실온 무관
cold_wave_armor,Body,false,8,0,0,0,0,false,0,0,false,hanpa,-0.40,-0.45,,0,None,한파 갑옷 - 방어 8 (T6·v40 진화 트리 · 한파 한벌옷 세트 — 체온 -40% · 화염 -45% (오너 승인 2026-07-28)),,악세사리·기타 — 실온 무관
cold_wave_boots,Feet,false,5,0,0,0,0,false,0,0,false,hanpa,-0.40,-0.45,,0,None,한파 신발 - 방어 5 (T6·v40 진화 트리 · 한파 한벌옷 세트 — 체온 -40% · 화염 -45% (오너 승인 2026-07-28)),,악세사리·기타 — 실온 무관
ssireum_knot,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,GrabKnockedTarget,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
iron_appetite,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,HearIronVein,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
yeouiju_shard,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,ExtendCoolerRadius,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
jigwi_ember,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,NoHeatInShade,0,DaySurface,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
drought_heart_shard,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,ReduceFlameAndHasten,0,DaySurface,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
tiger_gait,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,NoFirstStrike,0,Surface,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
three_horn,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,WalkWhileCharging,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
eop_scale,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,MaintainAfterShutdown,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
yeongno_mask,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,EscapeOnSwallow,1,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
perfect_core,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,RelocateColdCore,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
clay_hand,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,HalveClayCraftTime,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
skate_pad,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,TurnWhileSliding,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
magpie_bell,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,ExtendMagpieRadius,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
old_key,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,OpenStorageAnywhere,3,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
minhwa_ink,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,BonusTearOnCodex,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
vault_seal,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,FullDemolitionRecovery,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
gate_mark,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,IncreaseVisionDeep,0,Deep,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
dry_trace,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,ReduceFlameTag,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
altar_echo,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,ReduceOfferTears,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
frost_map,AccessoryOne,true,0,0,0,0,0,false,0,0,false,none,0,0,ShowDugPaths,0,None,아티팩트(v37) — 전투 수치 0 상승·동사만 확장·제작 불가·악세 2슬롯 공유,0,
